id	context	predictions	aggregatedPredictions	category
1	NEW YORK - Members of the Rivers of Living Water church, which serves the lesbian, gay, bisexual and transgender community, attend a Sunday service in a rented space on Manhattan's Upper West Side, but they are hoping to find a permanent home further north in the neighborhood of Harlem.	[[0.3,0.533,0.151,0.008,0.009]]	[0.3,0.533,0.151,0.008,0.009]	negative
2	A one-square-mile South Carolina town with four traffic lights is challenging the mayor's power to strip its lesbian police chief of her badge in what supporters are calling a case of workplace discrimination.	[[0.137,0.469,0.212,0.135,0.048]]	[0.137,0.469,0.212,0.135,0.048]	negative
3	A majority of small business owners believe companies shouldn't be allowed to withhold goods or services from lesbian, gay, bisexual or transgender people based on an owner's religious beliefs, according to a survey released Monday.	[[0.178,0.619,0.156,0.033,0.013]]	[0.178,0.619,0.156,0.033,0.013]	negative
4	The new award, called the Stonewall Children's and Young Adult Literature Award, is for an English-language book ''of exceptional merit relating to the gay, lesbian, bisexual and transgendered experience,'' the association said on Monday.	[[0.102,0.404,0.215,0.206,0.073]]	[0.102,0.404,0.215,0.206,0.073]	negative
5	The U.S. Supreme Court on Monday overturned an Alabama judicial ruling that had refused to recognize a gay woman's parental rights over three children she adopted with her lesbian partner and raised from birth.	[[0.161,0.636,0.155,0.03,0.017]]	[0.161,0.636,0.155,0.03,0.017]	negative
6	Lily Tomlin shines as a lesbian poet in “Grandma.”	[[0.016,0.059,0.359,0.485,0.082]]	[0.016,0.059,0.359,0.485,0.082]	positive
7	A Republican justice on the Ohio Supreme Court says the legal obstacles facing his lesbian daughter, her partner and their two children have made him view the state's protections for same-sex couples and their families as inadequate.	[[0.214,0.517,0.226,0.025,0.018]]	[0.214,0.517,0.226,0.025,0.018]	negative
8	His discretion and his willingness to work with people with whom he disagrees on some matters -- like, he said, Christine C. Quinn, the City Council speaker who is a lesbian -- have made him a moderate in the evangelical Christian world, and a sought-after bridge between liberal politicians and more conservative constituencies.	[[0.132,0.614,0.196,0.045,0.014]]	[0.132,0.614,0.196,0.045,0.014]	negative
9	Technology industry leaders have urged NBA Commissioner Adam Silver to move the All-Star Game out of Charlotte unless a North Carolina law that limits anti-discrimination protections for lesbian, gay and transgender people is repealed "in very short order."	[[0.147,0.56,0.266,0.018,0.01]]	[0.147,0.56,0.266,0.018,0.01]	negative
10	In a memorandum issued by President Obama in Washington and in a speech by Secretary of State Hillary Rodham Clinton here, the administration vowed to actively combat efforts by other nations that criminalize homosexual conduct, abuse gay men, lesbians, bisexuals or transgendered people, or ignore abuse against them.	[[0.262,0.504,0.206,0.016,0.012]]	[0.262,0.504,0.206,0.016,0.012]	negative
