id	context	predictions	aggregatedPredictions	category
1	A federal hate crime charge has been filed against a man who yelled anti-gay slurs and threatened to stab three men in a Seattle neighborhood with a sizable gay community, a U.S. attorney's spokeswoman said on Thursday.	[[0.535,0.365,0.082,0.005,0.014]]	[0.535,0.365,0.082,0.005,0.014]	very negative
2	A U.S.-funded health project in Uganda has suspended operations after police arrested a staff member on suspicion of promoting homosexuality, highlighting the mounting legal risks confronting the gay community in the east African state.	[[0.17,0.596,0.173,0.041,0.02]]	[0.17,0.596,0.173,0.041,0.02]	negative
3	Tennessee's Republican governor on Wednesday signed a law allowing mental health counselors to refuse service to patients on "sincerely held principles," the latest in a string of U.S. state measures criticized as discriminatory against the gay community.	[[0.308,0.547,0.124,0.009,0.012]]	[0.308,0.547,0.124,0.009,0.012]	negative
4	Tammy Baldwin is balancing being a loyal, hard-working representative of Wisconsin and an emerging national figure in the gay community.	[[0.21,0.532,0.142,0.07,0.046]]	[0.21,0.532,0.142,0.07,0.046]	negative
5	Dozens of LGBT activists have protested in Jerusalem against comments reportedly made by the city's chief rabbi disparaging the gay community.	[[0.17,0.631,0.169,0.018,0.012]]	[0.17,0.631,0.169,0.018,0.012]	negative
6	Ireland's "Yes" vote in May's referendum on same-sex marriage and the months of national debate that accompanied it is having a profound effect on the country's gay community even though a legal challenge has delayed the first weddings.	[[0.006,0.012,0.071,0.65,0.261]]	[0.006,0.012,0.071,0.65,0.261]	positive
7	The president drew both heckling and applause at a “Gala With the Gay Community” Democratic fund-raiser in Manhattan.	[[0.075,0.571,0.328,0.021,0.006]]	[0.075,0.571,0.328,0.021,0.006]	negative
8	Prosecutors said Friday they are investigating a Spanish archbishop for possible criminal hate speech because of remarks he made recently about the gay community.	[[0.116,0.526,0.285,0.054,0.02]]	[0.116,0.526,0.285,0.054,0.02]	negative
9	Indonesia's third-largest city has ordered a hardline Muslim group to take down "provocative" banners targeting the gay community and calling for them to leave, officials said on Friday.	[[0.136,0.636,0.185,0.031,0.012]]	[0.136,0.636,0.185,0.031,0.012]	negative
10	The shooting in Florida has exposed some of the challenges faced by the gay community in parts of Puerto Rico.	[[0.058,0.488,0.37,0.073,0.012]]	[0.058,0.488,0.37,0.073,0.012]	negative
11	Legendary NFL quarterback Steve Young says he's a Mormon who wants to build bridges with the gay community.	[[0.076,0.516,0.299,0.087,0.022]]	[0.076,0.516,0.299,0.087,0.022]	negative
12	Many gay bars in North America have stopped selling the famous Stolichnaya vodka brand to protest Russia's crackdown on the gay community.	[[0.158,0.645,0.143,0.036,0.018]]	[0.158,0.645,0.143,0.036,0.018]	negative
13	Nearly half of the people slain in an Orlando nightclub were Puerto Ricans, the island's justice secretary said Tuesday, compounding the shock for the territory's gay community and society as a whole.	[[0.174,0.584,0.202,0.028,0.012]]	[0.174,0.584,0.202,0.028,0.012]	negative
14	A Pennsylvania Chick-fil-A’s decision to sponsor a February marriage seminar by a group that has been outspoken against homosexuality has caused an outcry in the gay community.	[[0.1,0.485,0.273,0.113,0.029]]	[0.1,0.485,0.273,0.113,0.029]	negative
15	The killing of two gay rights activists in the Bangladeshi capital has driven the country's already secretive and small gay community underground, wondering if they can trust a government that considers their status to be criminal, rights groups said.	[[0.382,0.503,0.1,0.006,0.009]]	[0.382,0.503,0.1,0.006,0.009]	negative
16	The president of Gambia has signed a bill into law that calls for life imprisonment for some homosexual acts, the latest African country to codify harsh penalties for the gay community.	[[0.143,0.649,0.161,0.034,0.014]]	[0.143,0.649,0.161,0.034,0.014]	negative
17	To understand these changes, several lesbian, gay, bisexual and transgender locals shared their thoughts on what unites, divides and defines the gay community.	[[0.188,0.673,0.125,0.008,0.005]]	[0.188,0.673,0.125,0.008,0.005]	negative
18	To understand these changes, a number of lesbian, gay, bisexual and transgender locals shared their thoughts on what unites, divides and defines the gay community today.	[[0.193,0.668,0.123,0.01,0.006]]	[0.193,0.668,0.123,0.01,0.006]	negative
19	New York City bar owners poured bottles of Russian vodka into the streets of Manhattan on Monday in a protest against Russia's crackdown on the gay community.	[[0.185,0.699,0.08,0.021,0.014]]	[0.185,0.699,0.08,0.021,0.014]	negative
20	My column this week looks at the prevalence of open relationships in the gay community.	[[0.017,0.254,0.676,0.05,0.004]]	[0.017,0.254,0.676,0.05,0.004]	neutral
21	For the first time in its history, the sponsors of Boston's St. Patrick's Day parade will allow a group representing the gay community to participate, drawing cheers from Mayor Martin Walsh, who boycotted the event last year over the exclusion.	[[0.075,0.641,0.19,0.082,0.012]]	[0.075,0.641,0.19,0.082,0.012]	negative
22	With “don’t ask, don’t tell” over, a gay community center in Tulsa, Okla., asked the military to send recruiters, and the Marines agreed to do so.	[[0.141,0.577,0.259,0.016,0.007]]	[0.141,0.577,0.259,0.016,0.007]	negative
23	Advice on how to confront ageism in the gay community despite earlier losses and how to avoid being alone.	[[0.145,0.578,0.24,0.026,0.012]]	[0.145,0.578,0.24,0.026,0.012]	negative
