id	context	predictions	aggregatedPredictions	category
1	Cuban gay rights activists led by the daughter of President Raul Castro plan a mass symbolic wedding on Saturday to promote acceptance of gay and transgender Cubans in a country once notoriously hostile toward them.	[[0.088,0.643,0.236,0.025,0.008]]	[0.088,0.643,0.236,0.025,0.008]	negative
2	Almost overnight, Virginia has emerged as a critical state in the nationwide fight to grant gay men and women the right to wed.	[[0.131,0.672,0.169,0.021,0.008]]	[0.131,0.672,0.169,0.021,0.008]	negative
3	Four Montana couples asked a federal judge on Wednesday to overturn a state constitutional amendment prohibiting gay marriage, the latest challenge to bans on same-sex matrimony that have been struck down by a string of U.S. courts.	[[0.177,0.635,0.172,0.009,0.006]]	[0.177,0.635,0.172,0.009,0.006]	negative
4	Gay activists who have been pushing to join New York City's St. Patrick's Day Parade since the 1990s called on organizers Tuesday to include them, not just a group for gay NBC employees.	[[0.205,0.577,0.199,0.011,0.008]]	[0.205,0.577,0.199,0.011,0.008]	negative
5	Mr. McSwiggan, who hosts popular videos about gay rights, says he was beaten outside a Los Angeles club.	[[0.112,0.478,0.294,0.087,0.03]]	[0.112,0.478,0.294,0.087,0.03]	negative
6	A gay man believes his outfit of metallic red shorts and a tank top was what triggered what he said was an assault and homophobic taunting during a weekend incident at a University of North Dakota fraternity house that police are investigating.	[[0.227,0.599,0.147,0.015,0.012]]	[0.227,0.599,0.147,0.015,0.012]	negative
7	A majority of small business owners believe companies shouldn't be allowed to withhold goods or services from lesbian, gay, bisexual or transgender people based on an owner's religious beliefs, according to a survey released Monday.	[[0.178,0.619,0.156,0.033,0.013]]	[0.178,0.619,0.156,0.033,0.013]	negative
8	Major Western nations are protesting a move to block gay and transgender groups from attending a high-level United Nations conference on AIDS.	[[0.081,0.586,0.297,0.027,0.008]]	[0.081,0.586,0.297,0.027,0.008]	negative
9	George Montague, 93, who is working to get apologies instead of pardons for as many as 65,000 other gay men, spoke about his life experiences.	[[0.204,0.561,0.13,0.06,0.045]]	[0.204,0.561,0.13,0.06,0.045]	negative
10	Advocates are pushing Apple, Microsoft and Wal-Mart to end indirect funding of anti-gay religious groups.	[[0.197,0.573,0.196,0.021,0.013]]	[0.197,0.573,0.196,0.021,0.013]	negative
11	FIFA has asked authorities in 2018 World Cup host Russia for "clarification and more details" about a new anti-gay law, joining the International Olympic Committee in seeking answers from Moscow.	[[0.184,0.613,0.157,0.028,0.018]]	[0.184,0.613,0.157,0.028,0.018]	negative
